	new word	new_genre	old word	old_genre
0	Get	A16	Come	A1
1	solicit	A16	gather	A1
2	comrade	A16	comrades	A1
3	listening	A16	hear	A1
4	dissertations	A16	lecture	A1
5	worldwide	A16	world	A1
6	modok	A16	spectre	A1
7	authored	A16	wrote	A1
8	Carl	A16	Karl	A1
9	word	A16	words	A1
10	wants	A16	will	A1
11	relation	A16	relate	A1
12	Internationalism	A16	Manifesto	A1
13	Origins	A16	History	A1
14	informs	A16	tells	A1
15	tales	A16	tale	A1
16	strife	A16	struggles	A1
17	courses	A16	classes	A1
18	Emancipating	A16	Slaves	A1
19	princes	A16	lords	A1
20	workmen	A16	labourers	A1
21	master	A16	masters	A1
22	verb	A16	word	A1
23	battling	A16	fought	A1
24	opposing	A16	opposition	A1
25	hellenistic	A16	modern	A1
26	rising	A16	rise	A1
27	vermin	A16	scum	A1
28	positions	A16	position	A1
29	bourgeois	A16	bourgeoisie	A1
30	adherents	A16	converts	A1
31	relationship	A16	ties	A1
32	substituted	A16	substitutes	A1
33	savagery	A16	brutal	A1
34	melt	A16	melts	A1
35	entrant	A16	competition	A1
36	monies	A16	money	A1
37	obtain	A16	gain	A1
38	stupidity	A16	absurdity	A1
39	skits	A16	show	A1
40	long	A16	longer	A1
41	rules	A16	rule	A1
42	eat	A16	feed	A1
43	servitude	A16	slaves	A1
44	bourgeois	A16	bourgeoisie	A1
45	burying	A16	grave	A1
46	gets	A16	does	A1
47	Jew	A12	Judaism	A1
48	Stratford	A1	Putney	A9
49	Flickr	A1	Commons	A9
50	Legislation	A1	Act	A9
51	energy	A1	power	A9
52	offered	A1	given	A9
53	Colchester	A1	Wimbledon	A9
54	Wanstead	A1	Putney	A9
55	formed	A1	incorporated	A9
56	commented	A1	said	A9
57	Legislation	A1	Act	A9
58	purpose	A1	purposes	A9
59	asserted	A1	stated	A9
60	Callington	A1	Putney	A9
61	know	A1	do	A9
62	amending	A1	repeal	A9
63	brought	A1	made	A9
64	formed	A1	constituted	A9
65	excepted	A1	excepting	A9
66	November	A1	July	A9
67	repeals	A1	amended	A9
68	accomplish	A1	make	A9
69	exist	A1	constitute	A9
70	begin	A1	commence	A9
71	taking	A1	take	A9
72	effects	A1	effect	A9
73	quickly	A1	immediately	A9
74	howsoever	A1	shall	A9
75	has	A1	have	A9
76	States	A1	State	A9
77	Ecosystems	A1	Environment	A9
78	continues	A1	continue	A9
79	whomsoever	A1	shall	A9
80	have	A1	be	A9
81	altering	A1	altered	A9
82	regulations	A1	provisions	A9
83	talked	A1	said	A9
84	Legislation	A1	Act	A9
85	know	A1	do	A9
86	imposing	A1	impose	A9
87	penalty	A1	penalties	A9
88	equalized	A1	penalties	A9
89	explained	A1	mentioned	A9
90	ORDINANCES	A1	LAWS	A9
91	Constructed	A1	Construction	A9
92	Clijsters	A1	Wimbledon	A9
93	Commonest	A1	Common	A9
94	Clijsters	A1	Wimbledon	A9
95	Letchworth	A1	Putney	A9
96	Commonest	A1	Common	A9
97	addition	A1	additions	A9
98	called	A8	named	A1
99	rotating	A8	spinning	A1
100	asked	A8	invitation	A1
101	disappointed	A8	regret	A1
102	smoother	A8	firmer	A1
103	asks	A8	ask	A1
104	extremely	A8	very	A1
105	matter	A8	subject	A1
106	maintains	A8	has	A1
107	requested	A8	asked	A1
108	disappointed	A8	regret	A1
109	disappointed	A8	regret	A1
110	utterances	A8	words	A1
111	be	A8	have	A1
112	Chimps	A8	Primates	A1
113	have	A8	be	A1
114	duped	A8	fooled	A1
115	fluency	A8	language	A1
116	worried	A8	concerned	A1
117	treating	A8	treatment	A1
118	orthodoxy	A8	orthodox	A1
119	Multicast	A8	Network	A1
120	maintains	A8	has	A1
121	hanging	A8	hung	A1
122	drying	A8	dry	A1
123	Subcommission	A8	Commission	A1
124	know	A8	do	A1
125	presume	A8	think	A1
126	glance	A8	look	A1
127	Sachs	A1	Goldman	A8
128	Sundays	A1	Wednesday	A8
129	corporation	A1	company	A8
130	Presently	A1	Today	A8
131	revisit	A1	discuss	A8
132	pose	A1	posed	A8
133	workforce	A1	employees	A8
134	flying	A1	air	A8
135	Percutaneous	A1	Ultrasound	A14
136	Flexure	A22	Elastic	A14
137	scatter	A22	scattering	A14
138	amplitude	A22	excitation	A14
