	new word	new_genre	old word	old_genre
0	упоминает	A11	пишет	A1
1	Североамериканских	A11	Америки	A1
2	знаю	A11	я	A1
3	глядел	A11	взглянул	A4
4	делаем	A11	мы	A1
5	честно	A11	Я	A4
6	даже	A11	но	A4
7	указанном	A11	в	A4
8	Эрик	A11	Карл	A4
9	Вот	A11	Опять	A17
10	Небо	A11	Солнце	A17
11	Павла	A11	Александра	A17
12	будучи	A11	оказался	A17
13	хотя	A11	целом	A17
14	цивилизация	A11	культура	A17
15	отличаются	A11	отличается	A17
16	прежней	A11	привычной	A17
17	Смотрели	A11	Зрители	A17
18	какого	A11	этого	A17
19	лицом	A11	перед	A17
20	выступления	A11	выступал	A17
21	организованного	A11	организаторов	A17
22	совершаемые	A11	совершают	A17
23	Побеги	A11	Молодые	A17
24	думают	A11	люди	A17
25	казалось	A11	когда	A17
26	князь	A11	император	A17
27	прочитать	A11	прочитал	A17
28	мое	A11	свое	A17
29	понимаю	A11	правильно	A17
30	Голубой	A11	Белый	A17
31	мороз	A11	снег	A17
32	какое	A11	другое	A17
33	эссе	A11	стихотворение	A17
34	слабо	A11	хорошо	A17
35	папы	A11	императора	A17
36	или	A11	например	A17
37	Знаем	A11	Мы	A1
38	решили	A11	сделали	A1
39	денежных	A11	денег	A1
40	добрых	A11	честных	A1
41	речь	A11	говорим	A1
42	сущность	A11	цель	A1
43	моего	A11	нашего	A1
44	момента	A11	существования	A1
45	кончилось	A11	случилось	A1
46	другое	A11	одно	A1
47	них	A11	из	A1
48	Егор	A11	Максим	A1
49	консультант	A11	аналитик	A1
50	кстати	A11	статье	A1
51	Мужчину	A11	Мужчина	A4
52	пишу	A11	Я	A4
53	осадков	A11	снег	A4
54	якобы	A11	будто	A4
55	честно	A11	Я	A4
56	конкретному	A11	этому	A4
57	Маргарита	A11	Марина	A4
58	держит	A11	сидит	A4
59	рассказываю	A11	рассказывает	A4
60	учился	A11	школе	A4
61	автору	A11	ей	A4
62	мама	A11	девочка	A4
63	Девочками	A11	Девочка	A4
64	считалась	A11	была	A4
65	хороша	A11	похожа	A4
66	крайнем	A11	на	A4
67	родителей	A11	мальчика	A4
68	получившая	A11	имела	A4
69	никакие	A11	все	A4
70	запланированной	A11	будущей	A4
71	понимаю	A11	я	A4
72	эмоций	A11	мыслей	A4
73	качество	A11	совершенство	A4
74	наконец	A11	и	A1
75	помню	A11	я	A1
76	честно	A11	Я	A1
77	уточнить	A11	объяснить	A1
78	впрочем	A11	поскольку	A1
79	сказала	A11	сказал	A1
80	надеюсь	A11	вас	A1
81	рассказывая	A11	сообщает	A1
82	просто	A11	правильно	A1
83	Мне	A11	Моей	A4
84	нравилось	A11	исполнилось	A4
85	три	A11	восемь	A4
86	хотим	A11	мы	A4
87	рассказывает	A11	говорит	A4
88	создают	A11	превращаются	A4
89	бывают	A11	получаются	A4
90	Хотела	A11	Она	A4
91	личинки	A11	самок	A4
92	корм	A11	яйца	A4
93	Сама	A11	Она	A4
94	хотел	A11	чтобы	A4
95	написать	A11	создать	A4
96	Хотела	A11	Она	A4
97	хочет	A11	спрашивает	A4
98	заявляют	A11	говорят	A1
99	Тебя	A11	Ты	A4
100	работаем	A11	мы	A4
101	конкретный	A11	ваш	A4
102	недавние	A11	предыдущие	A4
103	понимаете	A11	вы	A4
104	таких	A11	этих	A4
105	моментально	A11	мгновение	A4
106	вечный	A11	мир	A4
107	англ	A11	нем	A4
108	разумеется	A11	если	A4
109	пожалуйста	A11	приходите	A4
110	Интересные	A11	Подробности	A4
111	последующем	A11	в	A4
112	маленький	A11	волшебный	A4
113	рок	A11	музыки	A4
114	качествами	A11	прекрасными	A4
115	Дмитрий	A11	Дмитрием	A4
116	Фасад	A11	Вход	A4
117	вместе	A11	с	A4
118	Прости	A11	Господи	A4
119	галлюцинации	A11	бред	A4
120	прочитал	A11	читаю	A4
121	даже	A11	И	A4
122	вообще	A11	бред	A4
123	Честно	A11	Мне	A4
124	законопроект	A11	закон	A4
125	идешь	A11	знаешь	A4
126	Кстати	A11	Есть	A4
127	Хотелось	A11	Чтоб	A4
128	люблю	A11	тебя	A4
129	адекватности	A11	безотносительно	A4
130	Вообще	A11	Бред	A4
131	Причем	A11	Каждый	A4
132	прочесть	A11	прочел	A4
133	хоть	A11	пусть	A4
134	обеспечит	A11	даст	A4
135	Отрыв	A11	Круг	A16
136	лекции	A11	чтения	A16
137	Узкий	A11	Круг	A16
138	прочтения	A11	чтения	A16
139	представлен	A11	представлены	A16
140	Ночной	A11	Сумерки	A16
141	демонов	A11	богов	A16
142	рассказы	A11	эссе	A16
143	Фон	A11	Фридрих	A16
144	комментировать	A11	воспринимать	A16
145	Настоящую	A11	Маленькую	A16
146	Левич	A11	Рубинштейн	A16
147	пишет	A11	написал	A16
148	книг	A11	произведений	A16
149	романтической	A11	жанре	A16
150	вдруг	A11	когда	A16
151	заголовки	A11	карточки	A16
152	эти	A11	которые	A16
153	далее	A11	последовательно	A16
154	тоже	A11	это	A16
155	вообще	A11	ни	A16
156	понимаю	A11	странно	A16
157	иная	A11	форма	A16
158	сейчас	A11	здесь	A16
159	необычайно	A11	очень	A16
160	богатого	A11	известного	A16
161	Колесников	A11	Прохоров	A4
162	знаю	A11	Я	A4
163	семейной	A11	жизни	A1
164	советников	A11	президентов	A1
165	только	A11	которых	A1
166	вообще	A11	нет	A1
167	итак	A11	нами	A1
168	моими	A11	мыслями	A1
169	задумался	A11	размышляя	A1
170	казалось	A11	когда	A1
171	честно	A11	я	A1
172	не	A11	что	A1
173	интеллект	A11	разум	A1
174	вернуться	A11	возвращается	A1
175	оказался	A11	будучи	A1
176	участии	A11	участием	A1
177	Вернулся	A11	Он	A1
178	мне	A11	нам	A1
179	впрочем	A11	что	A1
180	думают	A11	люди	A1
181	пожилые	A11	живущие	A1
182	интересной	A11	яркой	A1
183	жизнь	A11	жизнью	A1
184	стремление	A11	стремятся	A1
185	достигнут	A11	достичь	A1
186	музыки	A11	гармонии	A1
187	другими	A11	тремя	A1
188	соседними	A11	областями	A1
189	даже	A11	и	A1
190	наверное	A11	значит	A1
191	этими	A11	тремя	A1
192	меньшей	A11	равной	A1
193	говорите	A11	имеете	A1
194	деятельность	A11	жизнь	A1
195	интересными	A11	достижениями	A1
196	хотелось	A11	позвольте	A1
197	некие	A11	чьи	A1
198	Ну	A11	Итак	A1
199	написать	A11	представить	A1
200	любовь	A11	жизнь	A1
201	каких	A11	без	A1
202	секс	A11	секса	A1
203	живет	A11	живут	A1
204	постоянному	A11	взаимному	A1
205	договориться	A11	согласию	A1
206	строят	A11	живут	A1
207	пишу	A11	Я	A1
208	ТОЖЕ	A11	НО	A1
209	хотелось	A11	бы	A1
210	таких	A11	подобных	A1
211	взглядах	A11	взглядов	A1
212	отказалась	A11	приняла	A1
213	интересом	A11	пониманием	A1
214	Кстати	A11	Есть	A1
215	наверняка	A11	ли	A1
216	пишу	A11	Я	A1
217	написать	A11	назвать	A1
218	Действительно	A11	Достаточно	A1
219	обычно	A11	или	A1
220	Проблема	A11	Ситуация	A1
221	Хочешь	A11	Ты	A1
222	приехал	A11	пришел	A1
223	наверняка	A11	ли	A1
224	понимаешь	A11	ты	A1
225	тыс	A11	человек	A1
226	замечательных	A11	ярких	A17
227	напишу	A11	добавим	A17
228	оттенка	A11	зеленого	A17
229	предполагается	A11	предположить	A17
230	совокупного	A11	тренда	A17
231	разрабатывается	A16	разработанный	A12
232	использовался	A16	предназначен	A12
233	ракет	A16	вооружения	A12
234	рукояти	A16	пистолета	A12
235	Международное	A16	Международная	A1
236	Бонне	A16	Женева	A1
237	различные	A16	также	A1
238	имело	A16	имеет	A1
239	выдающегося	A16	честь	A1
240	представим	A16	представить	A1
241	Информационное	A16	Информационные	A9
242	инновационной	A16	конкурентоспособности	A9
243	ПОДГОТОВКИ	A16	ПОДГОТОВКА	A9
244	СПЕЦИАЛИЗИРОВАННЫХ	A16	КВАЛИФИЦИРОВАННЫХ	A9
245	КАДРЫ	A16	КАДРОВ	A9
246	СОЗЫВА	A16	ГОСУДАРСТВЕННОЙ	A9
247	МИРОВОЙ	A16	ГРАЖДАНСКОЙ	A9
