	new word	new_genre	old word	old_genre
0	трудов	A16	научных	A14
1	учебников	A16	работ	A14
2	написал	A16	автор	A14
3	культурологии	A16	научной	A14
4	опять	A16	А	A14
5	он	A16	В	A14
6	чайковского	A16	П	A14
7	конституции	A1	кодекс	A9
8	УГОЛОВНОГО	A1	УК	A9
9	МИНЭКОНОМРАЗВИТИЯ	A1	РФ	A9
10	половина	A1	часть	A9
11	недалеко	A1	от	A9
12	наконец	A1	и	A9
13	правонарушения	A1	наказания	A9
14	Руководитель	A1	Глава	A9
15	зависеть	A1	от	A9
16	правонарушения	A1	ответственности	A9
17	недалеко	A1	от	A9
18	компетенции	A1	ответственности	A9
19	наконец	A1	и	A9
20	зависеть	A1	от	A9
21	казни	A1	наказания	A9
22	Лидер	A1	Глава	A9
23	зависеть	A1	от	A9
24	компетенции	A1	ответственности	A9
25	Повторюсь	A1	Статья	A9
26	Освобожден	A1	Освобождение	A9
27	в	A1	впервые	A9
28	просто	A1	или	A9
29	вращения	A1	тяжести	A9
30	зависимости	A1	от	A9
31	желая	A1	добровольно	A9
32	даже	A1	и	A9
33	обжалованию	A1	расследованию	A9
34	вред	A1	ущерб	A9
35	следовательно	A1	образом	A9
36	же	A1	в	A9
37	пострадали	A1	результате	A9
38	шаблон	A1	категории	A9
39	подлинного	A1	настоящего	A9
40	Повторюсь	A1	Статья	A9
41	года	A1	сентября	A8
42	уполномоченный	A1	представитель	A8
43	заверил	A1	заявил	A8
44	Президентского	A1	Президента	A8
45	Организатор	A1	Лидер	A8
46	сказала	A1	заявила	A8
47	пишет	A1	утверждает	A8
48	намерена	A1	заявила	A8
49	путина	A1	президента	A8
50	осуждать	A1	навязывать	A8
51	Многонациональных	A1	Национальный	A8
52	абсолютным	A1	лидером	A8
53	докладе	A1	заявлении	A8
54	тесно	A16	с	A1
55	трети	A16	процентов	A1
56	их	A16	они	A1
57	союз	A16	мир	A1
58	ввели	A16	расширили	A1
59	крупнейшим	A16	мире	A1
60	стала	A16	стали	A1
61	отличается	A16	от	A1
62	грузов	A16	тонн	A1
63	настоящее	A16	сегодня	A1
64	тыс	A16	тонн	A1
65	Названное	A16	Оно	A1
66	оплатить	A7	приобрести	A12
67	заявление	A7	предложение	A12
68	Говорим	A7	Мы	A12
69	хотим	A7	предлагаем	A12
70	короткий	A7	широкий	A12
71	изготавливаться	A7	изготавливаются	A12
72	главных	A7	из	A12
73	Словно	A7	Сквозь	A12
74	граница	A7	проходит	A12
75	электричества	A7	электрический	A12
76	индикатор	A7	элемент	A12
77	подобно	A7	благодаря	A12
78	воздух	A7	тепло	A12
79	же	A7	В	A12
80	каком	A7	этом	A12
81	из	A7	состоит	A12
82	особое	A7	основное	A12
83	победу	A7	преимущество	A12
84	каких	A7	подобных	A12
85	устройств	A7	систем	A12
86	нагрева	A7	отопления	A12
87	Организационные	A7	Технические	A12
88	типы	A7	характеристики	A12
89	орудия	A7	мм	A12
90	году	A7	В	A12
91	банковского	A8	торгового	A1
92	Японии	A8	Китая	A1
93	указанному	A8	по	A1
94	речного	A8	торгового	A1
95	стимулирования	A8	баланса	A1
96	млрд	A8	миллиарда	A1
97	ним	A8	с	A1
98	связаны	A8	с	A1
99	отвращением	A8	обращением	A1
100	Ресторан	A8	Торговый	A1
101	Кнр	A8	Китая	A1
102	промышленный	A8	экономический	A1
103	Кнр	A8	Китая	A1
104	чжан	A8	китайской	A1
105	Японии	A8	Китая	A1
106	Наверняка	A8	Действительно	A1
107	предприятии	A7	завод	A12
108	основным	A7	является	A12
109	ролик	A7	материал	A12
110	неожиданно	A7	временем	A12
111	один	A7	из	A12
112	нужного	A7	такого	A12
113	наконец	A7	и	A12
114	иметь	A7	имеет	A12
115	но	A7	и	A12
116	связан	A7	с	A12
117	предприятии	A7	завод	A12
