	new word	new_genre	old word	old_genre
0	nor	A12	not	A7
1	be	A12	have	A7
2	respective	A12	own	A7
3	anyone	A12	whatever	A7
4	put	A12	putting	A7
5	regard	A12	respect	A7
6	neither	A12	not	A7
7	tried	A12	trying	A22
8	remortgage	A12	mortgage	A22
9	wants	A12	will	A22
10	intensification	A12	disturbance	A22
11	Projective	A12	Projection	A22
12	hours	A12	time	A22
13	both	A12	and	A22
14	organisations	A12	groups	A22
15	labour	A12	labor	A22
16	projected	A12	projections	A22
17	of	A12	the	A22
18	advanced	A12	advance	A22
19	requirements	A12	require	A22
20	quickly	A12	immediately	A22
21	Automotive	A12	Auto	A22
22	come	A12	get	A22
23	borrowers	A12	payday	A22
24	any	A12	no	A22
25	preprint	A12	papers	A22
26	Village	A12	Township	A22
27	changing	A12	change	A22
28	multicast	A12	networks	A22
29	conveniently	A12	readily	A22
30	managed	A12	manage	A22
31	achieves	A12	attain	A22
32	cash	A12	money	A22
33	needed	A12	need	A22
34	bring	A12	put	A22
35	opportunity	A12	chance	A22
36	of	A12	in	A22
37	trouble	A12	worry	A22
38	Wyoming	A12	Iowa	A22
39	quickly	A12	immediately	A22
40	believe	A12	consider	A22
41	assumptions	A12	speculations	A22
42	banking	A12	banks	A22
43	both	A12	and	A22
44	accept	A12	accepted	A22
45	in	A12	the	A22
46	continuation	A12	extension	A22
47	borrower	A12	loans	A22
48	journalistic	A12	media	A8
49	Photograph	A12	Flickr	A8
50	sharing	A12	share	A8
51	Cnet	A12	Reuters	A8
52	Subsequently	A12	After	A7
53	Igoogle	A12	Google	A7
54	searching	A12	search	A7
55	the	A12	for	A7
56	including	A12	include	A7
57	azimuthal	A12	angle	A7
58	outcome	A12	result	A7
59	of	A12	in	A7
60	wanted	A12	would	A7
61	collaborate	A12	work	A7
62	website	A12	site	A7
63	be	A12	have	A7
64	options	A12	choose	A7
65	csearch	A12	keyword	A7
66	utterances	A12	phrases	A7
67	website	A12	site	A7
68	On	A12	At	A7
69	HAYASHIBARA	A12	KEI	A7
70	so	A12	if	A7
71	website	A12	site	A7
72	would	A12	could	A7
73	come	A12	get	A7
74	Remind	A12	Remember	A7
75	HAYASHIBARA	A12	KEI	A7
76	csearch	A12	keyword	A7
77	includes	A12	covers	A7
78	stratum	A12	layers	A7
79	it	A12	the	A7
80	utilizing	A12	utilize	A7
81	Studies	A12	Study	A17
82	Alan	A12	Neil	A17
83	be	A12	is	A17
84	sets	A12	set	A17
85	thinking	A12	thoughts	A17
86	hardback	A12	book	A17
87	both	A12	and	A17
88	have	A12	be	A17
89	Monographs	A12	Books	A17
90	Scrutinized	A12	Reviewed	A17
91	It	A12	The	A17
92	fiction	A12	novel	A17
93	reading	A12	read	A17
94	although	A12	but	A17
95	had	A12	got	A17
96	the	A12	at	A17
97	Foreword	A12	Paperback	A17
98	Isbn	A12	Publishing	A17
99	Access	A12	Available	A17
100	Published	A12	Publishing	A17
101	Room	A12	House	A17
102	Apostles	A12	Gospels	A17
103	Foreword	A12	Press	A17
104	Beginning	A12	First	A17
105	hardback	A12	book	A17
106	Books	A12	Hardback	A17
107	the	A12	from	A17
108	Publication	A12	Publishing	A17
109	the	A12	of	A17
110	j	A12	D	A17
111	construction	A12	structure	A17
112	analyses	A12	study	A17
113	the	A12	of	A17
114	in	A12	the	A17
115	Depiction	A12	Picture	A17
116	constituting	A12	of	A17
117	garb	A12	dressed	A17
118	comfortable	A12	comfy	A17
119	pair	A12	paired	A17
120	objections	A12	doubts	A17
121	Engine	A12	Diesel	A17
122	colour	A12	shade	A17
123	supplanted	A12	retained	A17
124	stainless	A12	titanium	A17
125	Motors	A12	Diesel	A17
126	constitutes	A12	is	A17
127	Why	A12	So	A1
128	lend	A12	give	A1
129	the	A12	of	A1
130	curriculum	A12	course	A1
131	in	A12	on	A1
132	assistance	A12	aid	A1
133	within	A12	in	A1
134	maintain	A12	keeping	A1
135	in	A12	on	A1
136	of	A12	the	A1
137	of	A12	from	A1
138	ensuing	A12	following	A1
139	guidelines	A12	policy	A1
140	organisational	A12	governance	A1
141	Her	A12	He	A1
142	blogging	A12	blog	A1
143	In	A12	The	A1
144	of	A12	from	A1
145	ny	A12	new	A1
146	facilitate	A12	aid	A1
147	dealing	A12	deal	A1
148	the	A12	for	A1
149	frail	A12	fragile	A1
150	discussion	A12	debate	A1
151	the	A12	by	A1
152	professionals	A12	experts	A1
153	in	A12	on	A1
154	assistance	A12	aid	A1
155	deliver	A12	delivery	A1
156	within	A12	in	A1
157	multilateral	A12	countries	A1
158	like	A12	such	A1
159	of	A12	from	A1
160	worldwide	A12	international	A1
161	organisation	A12	organisations	A1
162	in	A12	on	A1
163	in	A12	the	A1
164	distinct	A12	unique	A1
165	challenging	A12	challenges	A1
166	the	A12	by	A1
167	micronesia	A12	states	A1
168	the	A12	at	A1
169	Financing	A12	Finance	A1
170	ebook	A12	pdf	A1
171	the	A12	of	A1
172	it	A12	the	A1
173	the	A12	of	A1
174	including	A12	include	A1
175	subtropical	A12	climate	A1
176	financing	A12	finance	A1
177	Notifying	A12	Notice	A8
178	both	A12	and	A8
179	suppose	A12	think	A17
180	around	A12	about	A17
181	are	A12	were	A17
182	the	A12	for	A17
183	families	A12	family	A17
184	entered	A12	went	A17
185	he	A12	her	A17
186	are	A12	were	A17
187	the	A12	in	A17
188	hospital	A12	medical	A17
189	today	A12	now	A17
190	Herself	A12	Her	A17
191	becomes	A12	become	A17
192	another	A12	a	A17
193	medical	A12	doctor	A17
194	backwards	A12	back	A17
195	Variously	A12	Sometimes	A7
196	overlooking	A12	overlook	A7
197	facility	A12	center	A7
198	reversal	A12	reverse	A7
199	centres	A12	centers	A7
200	products	A12	goods	A7
201	products	A12	goods	A7
202	Likewise	A12	Hence	A7
203	reversal	A12	reverse	A7
204	presided	A12	headed	A7
205	smooth	A12	smoothly	A7
206	facility	A12	center	A7
207	payment	A12	pay	A7
208	Too	A12	So	A7
209	in	A12	the	A7
210	know	A12	feel	A7
211	voice	A12	vocal	A7
212	another	A12	a	A7
213	word	A12	phrase	A7
214	photo	A12	image	A7
215	variously	A12	as	A7
216	Pets	A12	Animals	A1
217	Emancipating	A12	Freedom	A1
218	which	A12	that	A1
219	it	A12	the	A1
220	massacred	A12	killed	A1
221	ought	A12	should	A1
222	medication	A12	drugs	A1
223	failures	A12	failing	A1
224	enormous	A12	immense	A1
225	suffer	A12	suffering	A1
226	the	A12	for	A1
227	bolstering	A12	undermining	A1
228	of	A12	the	A1
229	of	A12	from	A1
230	in	A12	on	A1
231	pets	A12	animals	A1
232	cattle	A12	pigs	A1
233	rabbit	A12	rabbits	A1
234	mouse	A12	mice	A1
235	rat	A12	rats	A1
236	seafood	A12	fish	A1
237	technique	A12	methods	A1
238	mankind	A12	human	A1
239	actuators	A12	simulators	A1
240	go	A12	going	A1
241	shortlisted	A12	award	A1
242	stating	A12	said	A1
243	integrator	A12	operators	A1
244	providers	A12	operators	A1
245	operationalized	A12	operators	A1
246	Edition	A12	Ed	A17
247	Improvisations	A12	Jazz	A17
248	customizations	A12	features	A17
249	Improvisations	A12	Jazz	A17
250	records	A12	recorded	A17
251	broadcasters	A12	broadcasts	A17
252	from	A12	of	A17
253	Improvisations	A12	Jazz	A17
254	artist	A12	artists	A17
255	presentation	A12	presented	A17
256	is	A12	has	A17
257	relation	A12	related	A17
258	artist	A12	artists	A17
259	presents	A12	shows	A17
260	comprise	A12	are	A17
261	freely	A12	free	A17
262	DISCS	A12	CD	A17
263	few	A12	some	A17
264	Mountain	A12	Mountains	A17
265	in	A12	the	A17
266	Gladness	A12	Joy	A17
267	presents	A12	shows	A17
268	across	A12	over	A17
269	across	A12	over	A17
270	shape	A12	form	A17
271	presume	A12	guess	A17
272	Of	A12	The	A17
273	baseball	A12	basketball	A17
274	In	A12	The	A17
275	Collected	A12	Collection	A17
276	Foreword	A12	Press	A17
277	Darren	A12	Kevin	A17
278	In	A12	The	A17
279	Collections	A12	Collection	A17
280	Routledge	A12	Press	A17
281	Temperatures	A12	Climate	A1
282	Author	A12	Authors	A8
283	Were	A12	Are	A17
284	nor	A12	not	A17
285	neither	A12	not	A17
286	hardback	A12	book	A17
287	hardback	A12	book	A17
288	CHAPTERS	A4	CHAPTER	A11
289	later	A4	next	A11
290	commencing	A4	commenced	A11
291	then	A4	before	A11
292	dress	A4	dressing	A11
293	yet	A4	but	A11
294	that	A4	this	A11
295	ourselves	A4	we	A11
296	had	A4	were	A11
297	forced	A4	obliged	A11
298	dispensing	A4	dispense	A11
299	in	A4	the	A11
300	celebrating	A4	ceremony	A11
301	purification	A4	washing	A11
302	in	A4	the	A11
303	of	A4	in	A11
304	it	A4	the	A11
305	is	A4	was	A11
306	freeze	A4	frozen	A11
307	another	A4	A	A11
308	switch	A4	change	A11
309	have	A4	had	A11
310	carried	A4	taken	A11
311	on	A4	in	A11
312	climate	A4	weather	A11
313	it	A4	the	A11
314	noon	A4	evening	A11
315	both	A4	and	A11
316	passionate	A4	keen	A11
317	it	A4	the	A11
318	constituting	A4	of	A11
319	ourselves	A4	our	A11
320	room	A4	bedroom	A11
321	installer	A4	windows	A11
322	everyone	A4	all	A11
323	got	A4	had	A11
324	trembling	A4	shiver	A11
325	ourselves	A4	our	A11
326	bedding	A4	beds	A11
327	both	A4	and	A11
328	of	A4	the	A11
329	content	A4	contents	A11
330	of	A4	the	A11
331	glacial	A4	ice	A11
332	Then	A4	Before	A11
333	in	A4	the	A11
334	longer	A4	long	A11
335	minute	A4	hour	A11
336	both	A4	and	A11
337	both	A4	and	A11
338	been	A4	was	A11
339	across	A4	over	A11
340	knew	A4	felt	A11
341	poised	A4	ready	A11
342	dying	A4	perish	A11
343	the	A4	at	A11
344	previous	A4	last	A11
345	that	A4	this	A11
346	of	A4	the	A11
347	is	A4	was	A11
348	nor	A4	not	A11
349	burned	A4	burnt	A11
350	of	A4	the	A11
351	qualities	A4	quality	A11
352	it	A4	the	A11
353	smaller	A4	small	A11
354	Why	A4	How	A11
355	smaller	A4	small	A11
356	partially	A4	portion	A11
357	wanted	A4	wished	A11
358	got	A4	had	A11
359	double	A4	doubled	A11
360	in	A4	the	A11
361	way	A4	course	A11
362	it	A4	the	A11
363	days	A4	day	A11
364	fellow	A4	member	A11
365	it	A4	the	A11
366	pdb	A4	class	A11
367	both	A4	and	A11
368	frequent	A4	regular	A11
369	configuring	A4	tasks	A11
370	was	A4	were	A11
371	assignment	A4	assigned	A11
372	thenceforth	A4	hitherto	A11
373	have	A4	had	A11
374	barely	A4	only	A11
375	another	A4	a	A11
376	from	A4	of	A11
377	in	A4	the	A11
378	hearings	A4	proceedings	A11
379	in	A4	at	A11
380	Christchurch	A4	Lowood	A11
381	became	A4	was	A11
382	know	A4	learn	A11
383	learn	A4	lessons	A11
384	adjustment	A4	change	A11
385	loss	A4	lost	A8
386	days	A4	time	A8
387	days	A4	week	A8
388	At	A4	On	A8
389	July	A4	June	A8
390	of	A4	the	A8
391	daughter	A4	wife	A8
392	cardiac	A4	stroke	A8
393	Conrado	A4	Carlos	A8
394	himself	A4	him	A8
395	within	A4	in	A8
396	the	A4	of	A8
397	In	A4	The	A8
398	government	A4	authorities	A8
399	eventually	A4	later	A8
400	Still	A4	Now	A8
401	of	A4	in	A8
402	it	A4	the	A8
403	he	A4	his	A8
404	corporation	A4	company	A8
405	afterwards	A4	finally	A8
406	various	A4	other	A8
407	Arguing	A4	Insisting	A8
408	already	A4	now	A8
409	the	A4	for	A8
410	wondering	A11	ask	A1
411	missionaries	A11	missionary	A1
412	America	A11	American	A1
413	America	A11	American	A1
414	Iaea	A11	Disarmament	A1
415	Prosecutorial	A11	Federal	A1
416	Eu	A11	European	A1
417	Iccm	A11	International	A1
418	Relations	A11	Affairs	A1
419	Faessler	A11	Spindelegger	A1
420	Linz	A11	Austrian	A1
421	Eu	A11	European	A1
422	policymakers	A11	policy	A1
423	went	A11	became	A1
424	were	A11	are	A1
425	once	A11	when	A1
426	were	A11	are	A1
427	preparations	A11	preparing	A1
428	closing	A11	closure	A1
429	from	A11	of	A1
