	new word	new_genre	old word	old_genre
0	solicit	A22	gather	A1
1	comrade	A22	comrades	A1
2	both	A22	and	A1
3	listening	A22	hear	A1
4	dissertations	A22	lecture	A1
5	Of	A22	The	A1
6	worldwide	A22	world	A1
7	modok	A22	spectre	A1
8	writing	A22	wrote	A1
9	word	A22	words	A1
10	wants	A22	will	A1
11	relation	A22	relate	A1
12	the	A22	from	A1
13	it	A22	the	A1
14	the	A22	of	A1
15	Everything	A22	All	A1
16	classrooms	A22	classes	A1
17	Servitude	A22	Slaves	A1
18	within	A22	in	A1
19	verb	A22	word	A1
20	clashed	A22	fought	A1
21	of	A22	in	A1
22	linearly	A22	constant	A1
23	progressives	A22	opposition	A1
24	Although	A22	While	A1
25	it	A22	the	A1
26	newer	A22	modern	A1
27	souvarine	A22	bourgeois	A1
28	similar	A22	like	A1
29	It	A22	The	A1
30	conversions	A22	converts	A1
31	in	A22	the	A1
32	contest	A22	competition	A1
33	both	A22	and	A1
34	souvarine	A22	bourgeois	A1
35	Jew	A12	Judaism	A1
36	Stratford	A1	Putney	A9
37	Flickr	A1	Commons	A9
38	Legislation	A1	Act	A9
39	repower	A1	power	A9
40	accorded	A1	given	A9
41	Callington	A1	Putney	A9
42	formed	A1	incorporated	A9
43	it	A1	the	A9
44	talked	A1	said	A9
45	Legislation	A1	Act	A9
46	foregoing	A1	therein	A9
47	know	A1	do	A9
48	abolishing	A1	repeal	A9
49	the	A1	by	A9
50	either	A1	or	A9
51	but	A1	excepting	A9
52	amendment	A1	amended	A9
53	pursuance	A1	hereby	A9
54	create	A1	make	A9
55	both	A1	and	A9
56	comprise	A1	constitute	A9
57	after	A1	following	A9
58	were	A1	are	A9
59	commencing	A1	commence	A9
60	both	A1	and	A9
61	effects	A1	effect	A9
62	quickly	A1	immediately	A9
63	it	A1	the	A9
64	similar	A1	same	A9
65	must	A1	shall	A9
66	has	A1	have	A9
67	Ecosystems	A1	Environment	A9
68	altering	A1	altered	A9
69	legislation	A1	provisions	A9
70	the	A1	of	A9
71	in	A1	the	A9
72	told	A1	said	A9
73	both	A1	and	A9
74	ourselves	A1	we	A9
75	know	A1	do	A9
76	the	A1	by	A9
77	like	A1	such	A9
78	dictate	A1	impose	A9
79	penalty	A1	penalties	A9
80	both	A1	and	A9
81	fined	A1	penalties	A9
82	at	A1	in	A9
83	identical	A1	same	A9
84	equivalents	A1	respectively	A9
85	discussed	A1	mentioned	A9
86	ADIEU	A1	BYE	A9
87	ORDINANCES	A1	LAWS	A9
88	At	A1	In	A9
89	Constructed	A1	Construction	A9
90	constituting	A1	of	A9
91	those	A1	these	A9
92	Flickr	A1	Commons	A9
93	Callington	A1	Heath	A9
94	both	A1	and	A9
95	called	A17	named	A1
96	which	A17	that	A1
97	me	A17	am	A1
98	nor	A17	not	A1
99	rotating	A17	spinning	A1
100	in	A17	the	A1
101	urging	A17	invitation	A1
102	regretted	A17	regret	A1
103	considerable	A17	much	A1
104	smoother	A17	firmer	A1
105	commanding	A17	command	A1
106	the	A17	it	A1
107	wondering	A17	ask	A1
108	which	A17	that	A1
109	topic	A17	subject	A1
110	pieces	A17	piece	A1
111	have	A17	has	A1
112	ask	A17	asked	A1
113	nor	A17	not	A1
114	the	A17	of	A1
115	phrase	A17	words	A1
116	mislead	A17	fooled	A1
117	both	A17	and	A1
